utility,state,effective_date,adopted_ref,customer_class,meter_size,fixed_charge,fixed_period,tier,tier_upper_bound,unit,rate,source_page,confidence,notes
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,5/8 inch,18.50,month,1,6,CCF,3.20,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,5/8 inch,18.50,month,2,15,CCF,4.10,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,5/8 inch,18.50,month,3,,CCF,5.60,2,high,15% drought surcharge on tier 3 during Stage 2 shortage
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,3/4 inch,24.10,month,1,6,CCF,3.20,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,3/4 inch,24.10,month,2,15,CCF,4.10,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,3/4 inch,24.10,month,3,,CCF,5.60,2,high,15% drought surcharge on tier 3 during Stage 2 shortage
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,1 inch,36.75,month,1,6,CCF,3.20,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,1 inch,36.75,month,2,15,CCF,4.10,2,high,
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,residential,1 inch,36.75,month,3,,CCF,5.60,2,high,15% drought surcharge on tier 3 during Stage 2 shortage
Cedar Hollow Water District,OR,2026-07-01,Resolution 26-14,commercial,all,41.00,month,1,,CCF,3.85,2,high,uniform rate; single tier
